order_id,order_date,ship_date,ship_mode,customer_id,segment,region,state,category,sub_category,quantity,discount,sales,profit
ORD-2023-00000,2023-03-07,2023-03-13,Standard Class,CUST-0336,Corporate,South,Alabama,Office Supplies,Storage,5,0.15,37.75,1.32
ORD-2023-00001,2023-11-25,2023-12-01,First Class,CUST-0026,Home Office,Central,Illinois,Office Supplies,Art,6,0.0,188.55,27.29
ORD-2023-00002,2023-07-22,2023-07-27,Standard Class,CUST-0219,Home Office,Central,Texas,Furniture,Furnishings,6,0.0,297.6,30.14
ORD-2023-00003,2023-04-23,2023-04-26,Standard Class,CUST-0052,Consumer,Central,Wisconsin,Office Supplies,Paper,8,,79.39,13.91
ORD-2023-00004,2023-08-30,2023-09-01,Standard Class,CUST-0360,Home Office,West,Oregon,Furniture,Bookcases,1,0.2,236.3,-4.89
ORD-2023-00005,2023-07-30,2023-07-31,Standard Class,CUST-0313,Consumer,West,Arizona,Technology,Networking,2,0.1,615.49,41.06
ORD-2023-00006,2024-01-05,2024-01-08,Standard Class,CUST-0037,Corporate,Central,Texas,Technology,Phones,7,0.15,643.84,66.97
ORD-2023-00007,2024-02-13,2024-02-18,Standard Class,CUST-0024,Consumer,South,Tennessee,Technology,Laptops,4,0.2,302.44,7.46
ORD-2023-00008,2024-10-31,2024-11-02,Standard Class,CUST-0043,Corporate,East,Massachusetts,Office Supplies,Art,4,0.2,177.75,-1.15
ORD-2023-00009,2023-03-07,2023-03-08,Standard Class,CUST-0153,Consumer,South,Alabama,Furniture,Bookcases,2,0.15,431.44,10.4
ORD-2023-00010,2024-05-14,2024-05-20,Same Day,CUST-0106,Consumer,Central,Wisconsin,Technology,Laptops,3,0.15,218.42,17.99
ORD-2023-00011,2024-07-22,2024-07-27,Standard Class,CUST-0123,Consumer,East,Ohio,Furniture,Bookcases,3,0.0,313.7,3.42
ORD-2023-00012,2024-02-04,2024-02-08,Standard Class,CUST-0303,Corporate,West,Oregon,Office Supplies,Pens,3,0.1,170.48,11.15
ORD-2023-00013,2023-10-31,2023-11-02,Standard Class,CUST-0371,Consumer,South,Georgia,Furniture,Chairs,3,0.1,644.05,-0.38
ORD-2023-00014,2023-11-23,2023-11-28,Standard Class,CUST-0177,Home Office,East,Ohio,Technology,Accessories,4,0.0,340.56,88.5
ORD-2023-00015,2024-11-15,2024-11-17,First Class,CUST-0331,Consumer,West,Oregon,Furniture,Furnishings,3,0.0,483.43,35.95
ORD-2023-00016,2024-02-01,2024-02-06,First Class,CUST-0391,Corporate,West,Washington,Technology,Accessories,6,0.15,509.7,69.73
ORD-2023-00017,2023-06-18,2023-06-22,Standard Class,CUST-0117,Home Office,West,California,Office Supplies,Storage,3,0.0,237.89,39.79
ORD-2023-00018,2024-10-23,2024-10-29,First Class,CUST-0090,Consumer,East,Florida,Technology,Networking,8,0.2,224.74,29.93
ORD-2023-00019,2024-10-14,2024-10-16,First Class,CUST-0105,Corporate,West,Oregon,Technology,Phones,7,0.0,964.74,232.92
ORD-2023-00020,2024-11-22,2024-11-26,Standard Class,CUST-0400,Consumer,West,California,Office Supplies,Binders,3,0.2,164.02,12.5
ORD-2023-00021,2024-07-21,2024-07-27,Standard Class,CUST-0049,Consumer,East,Florida,Furniture,Tables,2,0.0,819.76,86.7
ORD-2023-00022,2024-11-08,2024-11-13,Standard Class,CUST-0053,Corporate,Central,Wisconsin,Technology,Accessories,1,0.0,844.5,135.65
ORD-2023-00023,2023-12-23,2023-12-28,Standard Class,CUST-0043,Home Office,Central,Wisconsin,Office Supplies,Storage,3,0.1,128.91,10.58
ORD-2023-00024,2024-06-30,2024-07-03,Standard Class,CUST-0116,Home Office,East,New York,Office Supplies,Pens,4,0.15,107.58,6.47
ORD-2023-00025,2024-08-28,2024-08-28,First Class,CUST-0261,Corporate,East,Ohio,Technology,Laptops,5,0.0,329.59,74.14
ORD-2023-00026,2023-07-20,2023-07-20,Standard Class,CUST-0077,Corporate,East,Massachusetts,Technology,Phones,8,0.0,1211.18,200.17
ORD-2023-00027,2024-08-25,2024-08-28,Standard Class,CUST-0009,Consumer,East,Pennsylvania,Technology,Networking,8,0.0,358.58,44.82
ORD-2023-00028,2023-05-23,2023-05-25,First Class,CUST-0215,Corporate,West,Nevada,Office Supplies,Binders,7,0.1,163.39,12.25
ORD-2023-00029,2023-02-01,2023-02-01,Standard Class,CUST-0334,Corporate,East,New York,Technology,Phones,2,0.0,545.26,73.88
ORD-2023-00030,2023-10-22,2023-10-27,Second Class,CUST-0296,Home Office,South,Alabama,Office Supplies,Binders,3,0.15,52.12,2.59
ORD-2023-00031,2023-04-09,2023-04-09,Standard Class,CUST-0056,Consumer,South,Louisiana,Furniture,Furnishings,7,0.1,290.75,10.71
ORD-2023-00032,2023-05-01,2023-05-03,First Class,CUST-0269,Consumer,East,Ohio,Furniture,Chairs,4,0.15,315.51,-5.01
ORD-2023-00033,2024-10-30,2024-11-04,Standard Class,CUST-0254,Home Office,South,Louisiana,Furniture,Tables,5,0.2,4487.116769058991,-15.35
ORD-2023-00034,2023-05-10,2023-05-14,Standard Class,CUST-0210,Home Office,Central,Texas,Office Supplies,Paper,8,0.0,112.26,22.77
ORD-2023-00035,2024-11-14,2024-11-14,Standard Class,CUST-0102,Corporate,Central,Texas,Office Supplies,Binders,7,0.15,207.03,1.44
ORD-2023-00036,2023-02-06,2023-02-09,Second Class,CUST-0208,Corporate,West,Oregon,Technology,Accessories,4,0.1,733.79,93.84
ORD-2023-00037,2023-12-26,2024-01-01,Second Class,CUST-0310,Consumer,West,Oregon,Office Supplies,Pens,1,0.1,456.01,49.64
ORD-2023-00038,2024-06-17,2024-06-19,First Class,CUST-0223,Consumer,East,Ohio,Office Supplies,Pens,5,0.0,78.37,11.39
ORD-2023-00039,2023-11-16,2023-11-20,Second Class,CUST-0395,Home Office,Central,Illinois,Office Supplies,Binders,5,0.0,162.96,21.26
ORD-2023-00040,2024-09-09,2024-09-13,Standard Class,CUST-0290,Corporate,South,Louisiana,Office Supplies,Binders,4,0.15,31.89,1.65
ORD-2023-00041,2024-08-25,2024-08-27,First Class,CUST-0399,Consumer,East,Pennsylvania,Furniture,Tables,4,0.15,504.31,-29.76
ORD-2023-00042,2024-05-14,2024-05-18,Standard Class,CUST-0099,Home Office,East,Ohio,Technology,Networking,2,0.0,306.35,57.95
ORD-2023-00043,2023-06-25,2023-06-26,Second Class,CUST-0021,Home Office,East,New York,Office Supplies,Pens,2,,167.83,21.03
ORD-2023-00044,2024-12-16,2024-12-22,First Class,CUST-0179,Consumer,South,Kentucky,Office Supplies,Paper,8,0.15,195.71,17.82
ORD-2023-00045,2023-01-30,2023-02-04,Standard Class,CUST-0294,Corporate,East,Pennsylvania,Technology,Accessories,5,0.2,463.92,21.44
ORD-2023-00046,2023-01-12,2023-01-16,Second Class,CUST-0165,Corporate,East,New York,Office Supplies,Art,1,0.0,156.39,19.51
ORD-2023-00047,2023-05-07,2023-05-10,First Class,CUST-0059,Consumer,East,New York,Technology,Laptops,8,0.1,558.01,77.09
ORD-2023-00048,2024-01-31,2024-02-01,Standard Class,CUST-0052,Corporate,East,Massachusetts,Office Supplies,Storage,2,0.1,232.6,20.69
ORD-2023-00049,2023-03-29,2023-03-30,Standard Class,CUST-0164,Consumer,South,Georgia,Technology,Phones,3,0.1,464.08,63.84
ORD-2023-00050,2024-11-23,2024-11-24,Second Class,CUST-0219,Consumer,Central,Wisconsin,Technology,Laptops,2,0.1,1481.0,205.72
ORD-2023-00051,2024-04-18,2024-04-24,Second Class,CUST-0206,Corporate,Central,Wisconsin,Technology,Phones,7,0.1,231.97,53.1
ORD-2023-00052,2024-02-12,2024-02-14,First Class,CUST-0329,Corporate,South,Georgia,Furniture,Furnishings,2,0.2,187.59,-0.63
ORD-2023-00053,2023-02-10,2023-02-14,Standard Class,CUST-0343,Consumer,West,Washington,Furniture,Tables,2,0.0,164.35,0.06
ORD-2023-00054,2024-06-01,2024-06-07,Second Class,CUST-0058,Consumer,West,Washington,Technology,Accessories,1,0.15,389.35,29.25
ORD-2023-00055,2024-05-29,2024-05-31,Same Day,CUST-0335,Consumer,South,Tennessee,Office Supplies,Paper,1,0.0,116.04,11.89
ORD-2023-00056,2024-11-30,2024-12-02,Standard Class,CUST-0192,Consumer,Central,Illinois,Office Supplies,Pens,7,0.0,315.56,42.68
ORD-2023-00057,2023-12-09,2023-12-15,Standard Class,CUST-0235,Consumer,South,Georgia,Technology,Phones,8,0.0,191.72,30.38
ORD-2023-00058,2023-01-11,2023-01-15,Standard Class,CUST-0298,Corporate,West,Washington,Office Supplies,Paper,4,0.15,135.92,7.56
ORD-2023-00059,2024-01-29,2024-01-31,First Class,CUST-0235,Corporate,South,Tennessee,Office Supplies,Paper,4,0.1,294.02,18.44
ORD-2023-00060,2023-10-08,2023-10-14,Standard Class,CUST-0127,Consumer,East,Massachusetts,Furniture,Tables,8,0.1,363.59,-2.04
ORD-2023-00061,2023-05-20,2023-05-21,Second Class,CUST-0282,Consumer,East,New York,Office Supplies,Art,4,0.0,56.82,7.98
ORD-2023-00062,2024-06-04,2024-06-09,First Class,CUST-0030,Corporate,South,Kentucky,Furniture,Bookcases,5,0.4,351.73,-53.38
ORD-2023-00063,2023-03-25,2023-03-30,Second Class,CUST-0294,Corporate,Central,Wisconsin,Furniture,Bookcases,5,0.4,903.81,-117.53
ORD-2023-00064,2024-04-10,2024-04-16,Standard Class,CUST-0030,Corporate,East,New York,Technology,Phones,8,0.0,380.88,41.52
ORD-2023-00065,2024-08-02,2024-08-08,Standard Class,CUST-0020,Home Office,Central,Texas,Office Supplies,Storage,7,0.0,164.31,10.28
ORD-2023-00066,2024-11-11,2024-11-16,Second Class,CUST-0094,Home Office,Central,Wisconsin,Office Supplies,Art,4,0.0,72.01,7.59
ORD-2023-00067,2024-09-18,2024-09-19,First Class,CUST-0096,Consumer,East,New York,Furniture,Tables,6,0.2,281.88,6.91
ORD-2023-00068,2024-01-18,2024-01-19,Standard Class,CUST-0271,Corporate,East,Ohio,Technology,Networking,1,0.2,371.77,9.47
ORD-2023-00069,2023-09-07,2023-09-08,Second Class,CUST-0400,Consumer,East,Ohio,Office Supplies,Storage,8,,104.66,16.18
ORD-2023-00070,2024-06-20,2024-06-22,Standard Class,CUST-0121,Consumer,Central,Texas,Office Supplies,Paper,1,0.0,98.13,15.06
ORD-2023-00071,2023-11-27,2023-11-29,Standard Class,CUST-0359,Home Office,South,Alabama,Furniture,Tables,4,0.1,385.06,4.35
ORD-2023-00072,2024-02-14,2024-02-18,Standard Class,CUST-0071,Corporate,East,Florida,Furniture,Furnishings,5,,582.05,15.91
ORD-2023-00073,2023-04-24,2023-04-30,Second Class,CUST-0398,Corporate,East,Florida,Technology,Phones,5,0.0,462.66,94.85
ORD-2023-00074,2023-07-06,2023-07-06,Standard Class,CUST-0374,Consumer,South,Alabama,Office Supplies,Pens,3,0.1,148.31,8.6
ORD-2023-00075,2023-11-13,2023-11-14,Standard Class,CUST-0207,Consumer,West,California,Office Supplies,Art,1,,56.52,5.28
ORD-2023-00076,2023-02-04,2023-02-05,Standard Class,CUST-0061,Consumer,West,Nevada,Furniture,Chairs,4,0.0,263.08,18.72
ORD-2023-00077,2023-01-02,2023-01-05,First Class,CUST-0313,Consumer,East,New York,Office Supplies,Binders,1,0.0,64.56,10.16
ORD-2023-00078,2024-01-22,2024-01-23,Standard Class,CUST-0198,Consumer,East,Pennsylvania,Technology,Laptops,3,0.0,265.46,55.93
ORD-2023-00079,2023-12-03,2023-12-08,Standard Class,CUST-0013,Consumer,South,Alabama,Technology,Accessories,1,0.0,528.58,111.59
ORD-2023-00080,2024-05-30,2024-05-30,Standard Class,CUST-0359,Corporate,Central,Michigan,Office Supplies,Paper,4,0.2,38.83,3.57
ORD-2023-00081,2024-07-18,2024-07-23,Standard Class,CUST-0326,Consumer,South,Kentucky,Technology,Phones,8,0.4,1036.83,5.64
ORD-2023-00082,2024-02-05,2024-02-05,Standard Class,CUST-0281,Consumer,South,Georgia,Technology,Accessories,7,0.0,504.78,54.85
ORD-2023-00083,2023-05-01,2023-05-06,Second Class,CUST-0058,Consumer,Central,Wisconsin,Office Supplies,Paper,6,0.1,124.28,9.38
ORD-2023-00084,2023-02-13,2023-02-19,First Class,CUST-0037,Consumer,West,Arizona,Office Supplies,Storage,5,,143.56,10.83
ORD-2023-00085,2024-10-04,2024-10-10,Standard Class,CUST-0335,Consumer,East,Massachusetts,Office Supplies,Binders,3,0.0,63.35,9.23
ORD-2023-00086,2023-02-07,2023-02-10,Second Class,CUST-0306,Consumer,Central,Texas,Office Supplies,Paper,2,0.0,67.85,9.85
ORD-2023-00087,2024-02-18,2024-02-20,Standard Class,CUST-0164,Consumer,East,Ohio,Office Supplies,Binders,4,0.15,112.75,6.5
ORD-2023-00088,2024-07-17,2024-07-18,Standard Class,CUST-0352,Consumer,South,Alabama,Office Supplies,Paper,3,0.0,51.3,4.28
ORD-2023-00089,2024-06-19,2024-06-22,First Class,CUST-0042,Corporate,Central,Minnesota,Furniture,Tables,5,0.15,74.49,4.47
ORD-2023-00090,2024-05-25,2024-05-25,Second Class,CUST-0373,Consumer,South,Kentucky,Technology,Networking,4,0.4,923.04,-35.61
ORD-2023-00091,2024-10-09,2024-10-12,Standard Class,CUST-0188,Corporate,Central,Illinois,Technology,Laptops,5,0.1,256.18,28.32
ORD-2023-00092,2023-09-04,2023-09-06,Standard Class,CUST-0190,Consumer,East,Pennsylvania,Technology,Laptops,1,0.3,557.12,-13.53
ORD-2023-00093,2024-07-04,2024-07-04,Standard Class,CUST-0019,Consumer,Central,Minnesota,Technology,Laptops,2,0.0,302.2,53.83
ORD-2023-00094,2023-03-07,2023-03-09,First Class,CUST-0043,Consumer,South,Tennessee,Furniture,Bookcases,2,0.15,328.96,-1.19
ORD-2023-00095,2024-12-19,2024-12-24,Second Class,CUST-0339,Consumer,Central,Minnesota,Office Supplies,Storage,1,0.1,289.15,-7.25
ORD-2023-00096,2023-10-21,2023-10-25,Standard Class,CUST-0335,Consumer,Central,Michigan,Technology,Phones,3,0.15,673.19,78.53
ORD-2023-00097,2023-10-23,2023-10-25,First Class,CUST-0106,Home Office,West,Arizona,Office Supplies,Binders,2,0.2,465.82,-14.48
ORD-2023-00098,2024-03-26,2024-03-31,Standard Class,CUST-0288,Consumer,West,Arizona,Furniture,Tables,2,0.2,890.77,-61.03
ORD-2023-00099,2023-07-01,2023-07-04,Standard Class,CUST-0212,Home Office,East,Pennsylvania,Technology,Phones,8,0.1,322.06,64.51
ORD-2023-00100,2024-08-25,2024-08-31,Standard Class,CUST-0066,Home Office,East,Pennsylvania,Technology,Phones,7,0.0,837.12,170.42
